protocol_id,platform,tool_version,top,width,implementation,architecture,evidence_class,status,support_status,nand2_static,dff_static,state_bits,input_bits,output_bits,port_bits,wire_bits,connections_static,max_fanout,cross_lane_connections,unit_nand_critical_depth,combinational_loop_status,netlist_sha256,warning_count,notes
PAH-BUILD002-CONF0001,windows-x64,"Yosys 0.68+120 (git sha1 a34d3baae-dirty, Release, GNU [REDACTED_PATH] 15.2.1)",pa_binexp_checked_compose_w4,4,VFU-BINEXP-S4,BINARY_EXPONENT,STRUCTURAL_DECLARED,PASS,SYNTHESIZED_AND_VALIDATED,391,0,0,22,11,33,413,793,57,0,25,ACYCLIC,c5ccf217b9d1cb0654a5887267182d4099d5b26ded1eb94bb8da7a54e46f9f7f,0,Warning count was parsed from the corresponding synthesis log.
PAH-BUILD002-CONF0001,windows-x64,"Yosys 0.68+120 (git sha1 a34d3baae-dirty, Release, GNU [REDACTED_PATH] 15.2.1)",pa_binexp_checked_compose_w4,4,VFU-BINEXP-S4,BINARY_EXPONENT,STRUCTURAL_OPTIMIZED,PASS,SYNTHESIZED_AND_VALIDATED,82,0,0,22,11,33,116,175,10,0,8,ACYCLIC,3b71e80d22f8db594aed6123aeb2b0bfd03cca5ba788415c353f61a91abc68bf,1,Warning count was parsed from the corresponding synthesis log.
PAH-BUILD002-CONF0001,windows-x64,"Yosys 0.68+120 (git sha1 a34d3baae-dirty, Release, GNU [REDACTED_PATH] 15.2.1)",pa_binexp_compose_w4,4,VFU-BINEXP-S4,BINARY_EXPONENT,STRUCTURAL_DECLARED,PASS,SYNTHESIZED_AND_VALIDATED,358,0,0,14,11,25,372,727,57,0,24,ACYCLIC,0748d6a321148c1382f19c65e46b2d6267f1144e53a804db34dffd38764ae4bf,0,Warning count was parsed from the corresponding synthesis log.
PAH-BUILD002-CONF0001,windows-x64,"Yosys 0.68+120 (git sha1 a34d3baae-dirty, Release, GNU [REDACTED_PATH] 15.2.1)",pa_binexp_compose_w4,4,VFU-BINEXP-S4,BINARY_EXPONENT,STRUCTURAL_OPTIMIZED,PASS,SYNTHESIZED_AND_VALIDATED,58,0,0,14,11,25,84,127,10,0,7,ACYCLIC,57f5cc984530cfb126ef1b2334d885c197d7af63f278842096acbfba587d3906,1,Warning count was parsed from the corresponding synthesis log.
PAH-BUILD002-CONF0001,windows-x64,"Yosys 0.68+120 (git sha1 a34d3baae-dirty, Release, GNU [REDACTED_PATH] 15.2.1)",pa_binexp_divides_w4,4,VFU-BINEXP-S4,BINARY_EXPONENT,STRUCTURAL_DECLARED,PASS,SYNTHESIZED_AND_VALIDATED,154,0,0,14,1,15,168,309,25,0,23,ACYCLIC,1ddd1da817dfe3cb9447d704db2c142b95862aa9e6768b0c754a7867ed4ec0f8,0,Warning count was parsed from the corresponding synthesis log.
PAH-BUILD002-CONF0001,windows-x64,"Yosys 0.68+120 (git sha1 a34d3baae-dirty, Release, GNU [REDACTED_PATH] 15.2.1)",pa_binexp_divides_w4,4,VFU-BINEXP-S4,BINARY_EXPONENT,STRUCTURAL_OPTIMIZED,PASS,SYNTHESIZED_AND_VALIDATED,34,0,0,14,1,15,54,69,3,0,10,ACYCLIC,b4620db149c6eae2787c42614128a6126ff6a71fe5c4d0a5c1d491c82eb20993,1,Warning count was parsed from the corresponding synthesis log.
PAH-BUILD002-CONF0001,windows-x64,"Yosys 0.68+120 (git sha1 a34d3baae-dirty, Release, GNU [REDACTED_PATH] 15.2.1)",pa_binexp_join_w4,4,VFU-BINEXP-S4,BINARY_EXPONENT,STRUCTURAL_DECLARED,PASS,SYNTHESIZED_AND_VALIDATED,203,0,0,14,7,21,217,413,24,0,16,ACYCLIC,9bb172ed0dd8bdee791bc86756a835fcb0c3fda30eb3e4ffc6641324f8a5240e,0,Warning count was parsed from the corresponding synthesis log.
PAH-BUILD002-CONF0001,windows-x64,"Yosys 0.68+120 (git sha1 a34d3baae-dirty, Release, GNU [REDACTED_PATH] 15.2.1)",pa_binexp_join_w4,4,VFU-BINEXP-S4,BINARY_EXPONENT,STRUCTURAL_OPTIMIZED,PASS,SYNTHESIZED_AND_VALIDATED,38,0,0,14,7,21,58,83,6,0,6,ACYCLIC,d23a198b1c4d57d6bddbd18ae617368887fa22a5f790b332f11b10909f3c55be,1,Warning count was parsed from the corresponding synthesis log.
PAH-BUILD002-CONF0001,windows-x64,"Yosys 0.68+120 (git sha1 a34d3baae-dirty, Release, GNU [REDACTED_PATH] 15.2.1)",pa_binexp_meet_w4,4,VFU-BINEXP-S4,BINARY_EXPONENT,STRUCTURAL_DECLARED,PASS,SYNTHESIZED_AND_VALIDATED,226,0,0,14,7,21,240,459,24,0,18,ACYCLIC,73f3b7fbb532c2f12452560fa284e9c6c5e8a2e06bc1fe01fa382aaf9a8cec7a,0,Warning count was parsed from the corresponding synthesis log.
PAH-BUILD002-CONF0001,windows-x64,"Yosys 0.68+120 (git sha1 a34d3baae-dirty, Release, GNU [REDACTED_PATH] 15.2.1)",pa_binexp_meet_w4,4,VFU-BINEXP-S4,BINARY_EXPONENT,STRUCTURAL_OPTIMIZED,PASS,SYNTHESIZED_AND_VALIDATED,59,0,0,14,7,21,79,125,7,0,7,ACYCLIC,6dd701f8af84be0bdec07fa99454684c65f37a55e896ebc3319408a75f1b66ed,1,Warning count was parsed from the corresponding synthesis log.
