width,family,trace_id,candidate,baseline,cache_capacity,speculation_budget,stable_cycle_prefix,stable_service_nand_prefix,final_cycle_delta,final_service_nand_delta,final_no_worse_both,strictly_better_at_least_one,eligible_for_frozen_decision,attribution
8,DIVISIBILITY_FILTER_PERSISTENT,four-slot-reuse,BIN_FRONTIER_NOPROP_K,BIN_DIRECT_BEST,4,0,-1,-1,48,743472,false,false,false,GENERIC_CHECKPOINT
8,DIVISIBILITY_FILTER_PERSISTENT,four-slot-reuse,BIN_PRIME_FRONTIER_PROP_K,BIN_DIRECT_BEST,4,0,-1,-1,48,743472,false,false,false,GENERIC_OR_UNATTRIBUTED
8,DIVISIBILITY_FILTER_PERSISTENT,four-slot-reuse,BIN_PRIME_FRONTIER_PROP_K,BIN_CONTENT_ANSWER_LRU_K,4,0,-1,-1,22,38832,false,false,false,GENERIC_OR_UNATTRIBUTED
8,DIVISIBILITY_FILTER_PERSISTENT,four-slot-reuse,BIN_PRIME_FRONTIER_PROP_K,BIN_FRONTIER_NOPROP_K,4,0,0,0,0,0,true,false,false,GENERIC_OR_UNATTRIBUTED
8,DIVISIBILITY_FILTER_PERSISTENT,four-slot-reuse,BIN_PRIME_FRONTIER_SPEC_B1_K,BIN_PRIME_FRONTIER_PROP_K,4,1,-1,-1,44,43076,false,false,false,GENERIC_OR_UNATTRIBUTED
8,DIVISIBILITY_FILTER_PERSISTENT,four-slot-reuse,BIN_PRIME_FRONTIER_SPEC_B4_K,BIN_PRIME_FRONTIER_PROP_K,4,4,-1,-1,166,164016,false,false,false,GENERIC_OR_UNATTRIBUTED
8,DIVISIBILITY_FILTER_STREAM,one-query-per-value,BIN_CONTENT_ANSWER_LRU_K,BIN_DIRECT_BEST,1,0,-1,-1,111,104682,false,false,false,GENERIC_MEMOIZATION
8,DIVISIBILITY_FILTER_STREAM,one-query-per-value,BIN_FRONTIER_NOPROP_K,BIN_DIRECT_BEST,1,0,-1,-1,256,168192,false,false,false,GENERIC_CHECKPOINT
8,DIVISIBILITY_FILTER_STREAM,one-query-per-value,BIN_PRIME_FRONTIER_PROP_K,BIN_DIRECT_BEST,1,0,-1,-1,256,168192,false,false,false,GENERIC_OR_UNATTRIBUTED
8,DIVISIBILITY_FILTER_STREAM,one-query-per-value,BIN_PRIME_FRONTIER_PROP_K,BIN_CONTENT_ANSWER_LRU_K,1,0,-1,-1,145,63510,false,false,false,GENERIC_OR_UNATTRIBUTED
8,DIVISIBILITY_FILTER_STREAM,one-query-per-value,BIN_PRIME_FRONTIER_PROP_K,BIN_FRONTIER_NOPROP_K,1,0,0,0,0,0,true,false,false,GENERIC_OR_UNATTRIBUTED
8,DIVISIBILITY_FILTER_STREAM,one-query-per-value,BIN_PRIME_FRONTIER_SPEC_B1_K,BIN_PRIME_FRONTIER_PROP_K,1,1,-1,-1,1288,949576,false,false,false,GENERIC_OR_UNATTRIBUTED
8,DIVISIBILITY_FILTER_STREAM,one-query-per-value,BIN_PRIME_FRONTIER_SPEC_B4_K,BIN_PRIME_FRONTIER_PROP_K,1,4,-1,-1,5522,4055010,false,false,false,GENERIC_OR_UNATTRIBUTED
8,DIVISIBILITY_FILTER_STREAM,one-query-per-value,BIN_CONTENT_ANSWER_LRU_K,BIN_DIRECT_BEST,2,0,-1,-1,111,210559,false,false,false,GENERIC_MEMOIZATION
8,DIVISIBILITY_FILTER_STREAM,one-query-per-value,BIN_FRONTIER_NOPROP_K,BIN_DIRECT_BEST,2,0,-1,-1,256,338304,false,false,false,GENERIC_CHECKPOINT
8,DIVISIBILITY_FILTER_STREAM,one-query-per-value,BIN_PRIME_FRONTIER_PROP_K,BIN_DIRECT_BEST,2,0,-1,-1,256,338304,false,false,false,GENERIC_OR_UNATTRIBUTED
8,DIVISIBILITY_FILTER_STREAM,one-query-per-value,BIN_PRIME_FRONTIER_PROP_K,BIN_CONTENT_ANSWER_LRU_K,2,0,-1,-1,145,127745,false,false,false,GENERIC_OR_UNATTRIBUTED
8,DIVISIBILITY_FILTER_STREAM,one-query-per-value,BIN_PRIME_FRONTIER_PROP_K,BIN_FRONTIER_NOPROP_K,2,0,0,0,0,0,true,false,false,GENERIC_OR_UNATTRIBUTED
8,DIVISIBILITY_FILTER_STREAM,one-query-per-value,BIN_PRIME_FRONTIER_SPEC_B1_K,BIN_PRIME_FRONTIER_PROP_K,2,1,-1,-1,1288,1057668,false,false,false,GENERIC_OR_UNATTRIBUTED
8,DIVISIBILITY_FILTER_STREAM,one-query-per-value,BIN_PRIME_FRONTIER_SPEC_B4_K,BIN_PRIME_FRONTIER_PROP_K,2,4,-1,-1,5402,4415197,false,false,false,GENERIC_OR_UNATTRIBUTED
8,DIVISIBILITY_FILTER_STREAM,one-query-per-value,BIN_CONTENT_ANSWER_LRU_K,BIN_DIRECT_BEST,4,0,-1,-1,111,427332,false,false,false,GENERIC_MEMOIZATION
8,DIVISIBILITY_FILTER_STREAM,one-query-per-value,BIN_FRONTIER_NOPROP_K,BIN_DIRECT_BEST,4,0,-1,-1,256,686592,false,false,false,GENERIC_CHECKPOINT
8,DIVISIBILITY_FILTER_STREAM,one-query-per-value,BIN_PRIME_FRONTIER_PROP_K,BIN_DIRECT_BEST,4,0,-1,-1,256,686592,false,false,false,GENERIC_OR_UNATTRIBUTED
8,DIVISIBILITY_FILTER_STREAM,one-query-per-value,BIN_PRIME_FRONTIER_PROP_K,BIN_CONTENT_ANSWER_LRU_K,4,0,-1,-1,145,259260,false,false,false,GENERIC_OR_UNATTRIBUTED
8,DIVISIBILITY_FILTER_STREAM,one-query-per-value,BIN_PRIME_FRONTIER_PROP_K,BIN_FRONTIER_NOPROP_K,4,0,0,0,0,0,true,false,false,GENERIC_OR_UNATTRIBUTED
8,DIVISIBILITY_FILTER_STREAM,one-query-per-value,BIN_PRIME_FRONTIER_SPEC_B1_K,BIN_PRIME_FRONTIER_PROP_K,4,1,-1,-1,1288,1278976,false,false,false,GENERIC_OR_UNATTRIBUTED
8,DIVISIBILITY_FILTER_STREAM,one-query-per-value,BIN_PRIME_FRONTIER_SPEC_B4_K,BIN_PRIME_FRONTIER_PROP_K,4,4,-1,-1,5122,5091040,false,false,false,GENERIC_OR_UNATTRIBUTED
8,SMOOTH_STRIP,smooth-near-smooth-rough,BIN_CONTENT_ANSWER_LRU_K,BIN_DIRECT_BEST,1,0,-1,-1,132,115632,false,false,false,GENERIC_MEMOIZATION
8,SMOOTH_STRIP,smooth-near-smooth-rough,BIN_FRONTIER_NOPROP_K,BIN_DIRECT_BEST,1,0,-1,-1,144,120888,false,false,false,GENERIC_CHECKPOINT
8,SMOOTH_STRIP,smooth-near-smooth-rough,BIN_PRIME_FRONTIER_PROP_K,BIN_DIRECT_BEST,1,0,-1,-1,144,120888,false,false,false,GENERIC_OR_UNATTRIBUTED
8,SMOOTH_STRIP,smooth-near-smooth-rough,BIN_PRIME_FRONTIER_PROP_K,BIN_CONTENT_ANSWER_LRU_K,1,0,-1,-1,12,5256,false,false,false,GENERIC_OR_UNATTRIBUTED
8,SMOOTH_STRIP,smooth-near-smooth-rough,BIN_PRIME_FRONTIER_PROP_K,BIN_FRONTIER_NOPROP_K,1,0,0,0,0,0,true,false,false,GENERIC_OR_UNATTRIBUTED
8,SMOOTH_STRIP,smooth-near-smooth-rough,BIN_PRIME_FRONTIER_SPEC_B1_K,BIN_PRIME_FRONTIER_PROP_K,1,1,-1,-1,150,112070,false,false,false,GENERIC_OR_UNATTRIBUTED
8,SMOOTH_STRIP,smooth-near-smooth-rough,BIN_PRIME_FRONTIER_SPEC_B4_K,BIN_PRIME_FRONTIER_PROP_K,1,4,-1,-1,480,354140,false,false,false,GENERIC_OR_UNATTRIBUTED
